2021-06-08 15:12:12.3481 | DEBUG |  -  |  # init main #  
2021-06-08 15:16:09.6996 | INFO | Promotion - POST | https://localhost/api/promotion # New Promotion Happy June Promotion with ID has been sent the email and update the email status 2 > HTTP 200 - OK #  
2021-06-08 15:16:09.7381 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2021-06-08 15:16:09.7523 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2021-06-08 15:16:09.8104 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2021-06-08 15:16:09.8104 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2021-06-08 15:16:09.8363 | INFO | Schedule - GET | https://localhost/api/schedule/All/1 # Restaurant schedules have been retrieved OK #  
2021-06-08 22:05:25.0771 | DEBUG |  -  |  # init main #  
2021-06-08 22:05:31.0337 | INFO |  -  |  # Promotion email status has been checked > HTTP 200 - OK #  
2021-06-08 22:05:31.1121 | INFO |  -  |  # Application started. Press Ctrl+C to shut down. #  
2021-06-08 22:05:31.1811 | INFO |  -  |  # Hosting environment: Development #  
2021-06-08 22:05:31.1811 | INFO |  -  |  # Content root path: C:\Users\MIS\source\repos\Restaurant Reservation Website\RestaurantReservation.Backend\RestaurantReservation.Api #  
2021-06-08 22:07:25.3341 | INFO | Authenticate - POST | https://localhost/api/authenticate/login # User refresh token has been created > HTTP 200 - OK #  
2021-06-08 22:07:29.6445 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2021-06-08 22:07:29.6852 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2021-06-08 22:07:29.9389 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2021-06-08 22:07:29.9525 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2021-06-08 22:07:30.0100 | INFO | Schedule - GET | https://localhost/api/schedule/All/1 # Restaurant schedules have been retrieved OK #  
2021-06-08 22:08:01.4352 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2021-06-08 22:08:01.4966 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2021-06-08 22:08:01.5758 | INFO | Schedule - GET | https://localhost/api/schedule/1 # Schedule of ID 1 and relevant restaurant info have been retrieved OK #  
2021-06-08 22:08:01.6066 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2021-06-08 22:08:01.6217 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2021-06-08 22:08:01.7532 | INFO | Booking - POST | https://localhost/api/booking # Member RestaurantReservation.Core.ViewModels.Members.MakeBookingVM new booking has been made and sent email has been created with booking ID 1 > HTTP 200 - OK #  
2021-06-08 22:08:01.7781 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2021-06-08 22:08:01.7781 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2021-06-08 22:08:01.8472 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User found from the valid access token given > HTTP 200 - OK #  
2021-06-08 22:08:01.8584 | INFO | Authenticate - POST | https://localhost/api/authenticate/refreshToken # User JWT Current access token has been refreshed > HTTP 200 - OK #  
2021-06-08 22:08:01.8802 | INFO | Schedule - GET | https://localhost/api/schedule/All/1 # Restaurant schedules have been retrieved OK #  
